OBJECTID,Sistema_de_Transporte,PK,POINT_M,NEAR_FID,NEAR_DIST,GlobalID,Latitud,Longitud
29,Poliducto Pozos Colorados - Ayacucho - Galán | Pozos Colorados - Ayacucho,K127+500,127500,52,0.21008605230561,{2EB682B3-5A8D-4592-B46C-42FB14290D6A},10.1281058260245,-73.9729091773335
30,Poliducto ODECA | Lucerna-Guacari,K72+500,72500,28,0.178302497964237,{F35DE175-92F3-4851-8F2B-14DF1537CCF1},4.17727304148888,-76.1774352019537
31,Poliducto Cartagena-Baranoa | Cartagena-Baranoa 12,K103+000,103000,104,0.661464758863996,{85D7BE85-8BC3-425E-9F52-640872C02E15},10.8443654272343,-74.8926887085011
32,Poliducto Pozos Colorados - Ayacucho - Galán | Ayacucho - Galán,K401+500,401500,64,0.611808475168325,{A2EF5B81-3863-4846-9DBE-F6E1524BD1A6},7.9131144926469,-73.5686552558843
33,Poliducto Buenaventura - Yumbo | Estación Dagua - Mulalo,K76+500,76500.0000000002,55,0.001624105782232,{D458FF00-947D-4A35-B132-CF08394DCFBA},3.67729384255716,-76.6175046107627
34,Poliandino | Sutamarchan - Miraflores,K11+500,11500,57,0.007917784245962,{1B3701A3-A176-45CB-A680-709BEDA23FF3},5.58453587333532,-73.5347733542811
35,Poliducto Medellin-Cartago-Yumbo | Cartago-Yumbo,K76+500,76500.0000000002,71,1.42998518823175,{4A9CA848-E5AD-48A7-99AA-7612419AC08B},4.14217565470283,-76.1775682177265
36,"Poliducto Galan - Salgar de 12"""" | Sebastopol - Salgar 12""""",K192+000,192000,110,0.071398795509542,{B00A0F3C-81B2-4D46-8D45-7BF4D4DD784B},5.94053337732303,-74.5609894985314
37,Poliducto Buenaventura - Yumbo | Gallineros - Estación Dagua,K43+000,43000.0000000002,68,3.23239250256091,{FDFE7BFE-BD26-421E-8226-B4C0BD69B1AA},3.80684627324727,-76.777405449441
38,Poliandino | Miraflores - Monterrey,K124+000,124000,111,1.27786538006564,{22440BC7-863E-42BF-A0AA-2FFDEE768281},4.95497811877251,-72.989736568902
39,"Poliducto Galan - Salgar de 16"""" | Sebastopol - Salgar 16""""",K147+500,147500,65,0.448637568858748,{A459EF4D-FD1C-49C9-850F-8A0F58DCE395},6.26817140682507,-74.4996044979983
40,"Poliducto Galan - Salgar de 12"""" | Galan Sebastopol 12""""",K49+000,49000.0000000002,67,0.166855626927181,{753C578B-98E6-426D-942F-4D3C8620DA4C},6.79739051044117,-73.9290045798853
41,Poliducto de Oriente | Sebastopol - Santa Rosa,K36+000,36000,45,0.249764564931062,{B4863513-B0B7-4924-B95A-496AB9DCDDE9},6.38693654101216,-74.1456397226855
42,Poliducto Medellin-Cartago-Yumbo | La Felisa - Cartago,K153+500,153500,31,0.10825658588141,{E9357C6B-7F15-4A2D-8982-B284808589C5},5.27058193962535,-75.6098141564689
43,Poliducto Medellin-Cartago-Yumbo | Medellin - La Felisa,K134+000,134000,112,1.17970228820966,{7BF1EAA8-47E2-4CB6-B7C7-0177B5DB692A},5.42552312492993,-75.591888281325
44,Poliducto Pozos Colorados - Ayacucho - Galán | Pozos Colorados - Ayacucho,K75+000,75000,52,0.111749495123744,{75486C9C-3AE6-4A40-B140-94F5B28FB205},10.5611051396583,-74.1213861650316
45,Poliducto Pozos Colorados - Ayacucho - Galán | Pozos Colorados - Ayacucho,K193+500,193500,52,0.552435447194795,{0B7F72C7-EB2C-491E-BB3B-86EDBE535656},9.64884977874532,-73.6434654659282
46,Poliducto ODECA | Lucerna-Guacari,K124+000,124000,28,1.62424394417488,{CFC6653E-69C0-4510-AF10-691D3742012A},3.8056949218209,-76.3223088197852
47,Poliducto Pozos Colorados - Ayacucho - Galán | Pozos Colorados - Ayacucho,K304+000,304000,52,0.621802541504282,{25EB8BBB-6C15-49B6-80F5-AEBAE46E42AB},8.73500404644713,-73.6806540897651
48,Poliducto ODECA | Salgar-Mariquita,K28+500,28500.0000000002,27,0.003589841481278,{590C6B25-3D24-466C-BE35-38FD8C82B55D},5.35906333760911,-74.8067512214272
49,Poliducto de Oriente | Santa Rosa - Sutamarchan,K170+400,170400,50,0.735327022559232,{70C1C7C0-FC9F-4308-B29A-031ABC315C65},5.68548233092514,-73.5842821203792
50,"Poliducto Galan - Salgar de 12"""" | Sebastopol - Salgar 12""""",K251+500,251500,65,0.062563769757432,{002A1732-2EBC-46EF-8641-59A539974199},5.46016324343576,-74.6360724949988
51,Poliducto de Oriente | Sutamarchan - Tocancipa,K270+000,270000,60,0.14538929392906,{3D1009E4-6C6C-4A3F-9F10-51E148BEB226},5.01591501663184,-73.8869442539806
52,"Poliducto Galan - Salgar de 16"""" | Sebastopol - Salgar 16""""",K215+500,215500,65,0.006288826052795,{71AB2C23-95B1-4371-B07A-0EB95B69CF07},5.74349250496322,-74.6301776639267
53,Poliducto Galan - Chimita | Trampa Tienda Nueva - Trampa Guayacan,K78+000,78000,105,0.60334163105524,{F481A0D2-706E-42C8-80B6-939B50C94458},7.15376371910947,-73.2986571467792
54,Poliducto de Oriente | Sutamarchan - Tocancipa,K222+000,222000,60,0.05301778119529,{0FE909CE-DFD8-411A-B4D6-74B590B2FCDE},5.33006255576888,-73.6929594386692
55,Poliducto Medellin-Cartago-Yumbo | La Felisa - Cartago,K222+500,222500,31,1.18950316626324,{4A39DF54-80C6-4D67-855F-4415706CBD42},4.80321019891699,-75.8624848559953
56,Poliducto Pozos Colorados - Ayacucho - Galán | Ayacucho - Galán,K463+500,463500,64,0.273193211012517,{CD5DB622-40EF-4ADB-91B3-9F900CB7B0AA},7.42307335138656,-73.6750181096215
57,Poliandino | Monterrey - Apiay,K258+500,258500,56,0.282979800387058,{4FD2CFDA-D830-484D-AB74-B3B66CBAC4FF},4.10822753854689,-73.3815121739732
58,Poliducto de Oriente | Sutamarchan - Tocancipa,K203+000,203000,60,0.499261138944181,{1138B904-C476-4F5D-B76A-10240A051D7D},5.45725334607591,-73.6441687180803
59,Poliducto Medellin-Cartago-Yumbo | Medellin - La Felisa,K25+500,25500.0000000002,112,0.325832979690341,{1301864F-9064-4717-820E-D1752F321E33},6.23522303913635,-75.6434474939842
60,Poliandino | Miraflores - Monterrey,K133+000,133000,111,0.889941608972226,{F00188DE-B02D-4E08-BC74-ED5AB31645E3},4.91260569402024,-72.9374607742644
61,Poliducto Pozos Colorados - Ayacucho - Galán | Pozos Colorados - Ayacucho,K253+500,253500,52,0.049494041263123,{FA9FF295-713B-48EF-9290-0C02197BC9F9},9.15950116976235,-73.6440838295506
62,Poliducto ODECA | Fresno-Herveo,K82+500,82500.0000000002,44,1.32281198303643,{6E86F046-6C92-4984-A72D-5DFE8F8691B0},5.13506395155375,-75.1339632011764
63,Poliducto de Oriente | Santa Rosa - Sutamarchan,K124+400,124400,50,0.591491017389402,{5887A3B8-62B6-47BC-8509-9CA093D70167},6.00738389653633,-73.7266759752643
64,Poliducto Pozos Colorados - Ayacucho - Galán | Ayacucho - Galán,K379+000,379000,64,0.22777157864273,{9DA25822-405B-499E-AF1A-537EE6F57831},8.10936739668694,-73.595507941597
65,Poliducto ODECA | Manizales-Cartago,K151+000,151000,107,0.017562559319415,{016ED7EF-94F9-49D2-9377-7D828AC4A2B9},4.98337283220455,-75.578217547905
66,Poliandino | Sutamarchan - Miraflores,K41+500,41500,57,1.67866768902264,{5E71CF04-90C2-4496-8F0C-EDC5F9B57D50},5.38678628309154,-73.3795953832875
67,Poliducto Medellin-Cartago-Yumbo | Cartago-Yumbo,K35+000,35000,71,0.498356380032351,{1C9089A6-DB31-4E57-87B6-215676256DB6},4.45179602612136,-76.0525393353058
68,Poliducto Cartagena-Baranoa | Cartagena-Baranoa 12,K8+000,8000,104,0.124233375623308,{11E980A2-9856-408F-9240-1366477AB378},10.3642931393773,-75.4595653748279
69,Poliducto Medellin-Cartago-Yumbo | Cartago-Yumbo,K151+500,151500,71,0.173066931788179,{F0CE2934-72D9-480F-9C3D-DBB17E96D67B},3.64102795944483,-76.4610123841726
